Quote ID: 1758, Asset Name: TenX, Asset Symbol: PAY
Quote ID: 1759, Asset Name: Status, Asset Symbol: SNT
Quote ID: 1762, Asset Name: Ergo, Asset Symbol: ERG
Quote ID: 1765, Asset Name: EOS, Asset Symbol: EOS
Quote ID: 1768, Asset Name: Ambire AdEx, Asset Symbol: ADX
Quote ID: 1769, Asset Name: Denarius, Asset Symbol: D
Quote ID: 1772, Asset Name: Storj, Asset Symbol: STORJ
Quote ID: 1774, Asset Name: SocialCoin, Asset Symbol: SOCC
Quote ID: 1779, Asset Name: Wagerr, Asset Symbol: WGR
Quote ID: 1784, Asset Name: Polybius, Asset Symbol: PLBT
Quote ID: 1785, Asset Name: Gas, Asset Symbol: GAS
Quote ID: 1786, Asset Name: SunContract, Asset Symbol: SNC
Quote ID: 1787, Asset Name: Jetcoin, Asset Symbol: JET
Quote ID: 1788, Asset Name: Metal DAO, Asset Symbol: MTL
Quote ID: 1789, Asset Name: Populous, Asset Symbol: PPT
Quote ID: 1799, Asset Name: Rupee, Asset Symbol: RUP
Quote ID: 1807, Asset Name: Santiment Network Token, Asset Symbol: SAN
Quote ID: 1808, Asset Name: OMG Network, Asset Symbol: OMG
Quote ID: 1814, Asset Name: Metrix Coin, Asset Symbol: MRX
Quote ID: 1816, Asset Name: Civic, Asset Symbol: CVC
Quote ID: 1817, Asset Name: Voyager Token, Asset Symbol: VGX
Quote ID: 1824, Asset Name: BitCoal, Asset Symbol: COAL
Quote ID: 1826, Asset Name: Particl, Asset Symbol: PART
Quote ID: 1828, Asset Name: SmartCash, Asset Symbol: SMART
Quote ID: 1830, Asset Name: SkinCoin, Asset Symbol: SKIN
Quote ID: 1831, Asset Name: Bitcoin Cash, Asset Symbol: BCH
Quote ID: 1834, Asset Name: Pillar, Asset Symbol: PLR
Quote ID: 1838, Asset Name: OracleChain, Asset Symbol: OCT
Quote ID: 1839, Asset Name: BNB, Asset Symbol: BNB
Quote ID: 1845, Asset Name: IXT, Asset Symbol: IXT
Quote ID: 1846, Asset Name: GeyserCoin, Asset Symbol: GSR
Quote ID: 1850, Asset Name: Cream, Asset Symbol: CRM
Quote ID: 1861, Asset Name: Stox, Asset Symbol: STX
Quote ID: 1866, Asset Name: Bytom, Asset Symbol: BTM
Quote ID: 1876, Asset Name: Dentacoin, Asset Symbol: DCN
Quote ID: 1878, Asset Name: Shadow Token, Asset Symbol: SHDW
Quote ID: 1881, Asset Name: DeepOnion, Asset Symbol: ONION
Quote ID: 1883, Asset Name: Adshares, Asset Symbol: ADS
Quote ID: 1886, Asset Name: Dent, Asset Symbol: DENT
Quote ID: 1888, Asset Name: InvestFeed, Asset Symbol: IFT
Quote ID: 1896, Asset Name: 0x, Asset Symbol: ZRX
Quote ID: 1899, Asset Name: YOYOW, Asset Symbol: YOYOW
Quote ID: 1902, Asset Name: MyBit, Asset Symbol: MYB
Quote ID: 1903, Asset Name: HyperCash, Asset Symbol: HC
Quote ID: 1908, Asset Name: Nebulas, Asset Symbol: NAS
Quote ID: 1916, Asset Name: BiblePay, Asset Symbol: BBP
Quote ID: 1918, Asset Name: Achain, Asset Symbol: ACT
Quote ID: 1930, Asset Name: Primas, Asset Symbol: PST
Quote ID: 1934, Asset Name: Loopring, Asset Symbol: LRC
Quote ID: 1935, Asset Name: LiteCoin Ultra, Asset Symbol: LTCU
Quote ID: 1937, Asset Name: Po.et, Asset Symbol: POE
Quote ID: 1947, Asset Name: Monetha, Asset Symbol: MTH
Quote ID: 1948, Asset Name: Aventus, Asset Symbol: AVT
Quote ID: 1949, Asset Name: Agrello, Asset Symbol: DLT
Quote ID: 1950, Asset Name: Hiveterminal Token, Asset Symbol: HVN
Quote ID: 1954, Asset Name: Moeda Loyalty Points, Asset Symbol: MDA
Quote ID: 1955, Asset Name: Neblio, Asset Symbol: NEBL
Quote ID: 1958, Asset Name: TRON, Asset Symbol: TRX
Quote ID: 1962, Asset Name: BUZZCoin, Asset Symbol: BUZZ
Quote ID: 1966, Asset Name: Decentraland, Asset Symbol: MANA
Quote ID: 1967, Asset Name: Indorse Token, Asset Symbol: IND
Quote ID: 1968, Asset Name: XPA, Asset Symbol: XPA
Quote ID: 1970, Asset Name: ATBCoin, Asset Symbol: ATB
Quote ID: 1974, Asset Name: Propy, Asset Symbol: PRO
Quote ID: 1975, Asset Name: Chainlink, Asset Symbol: LINK
Quote ID: 1982, Asset Name: Kyber Network Crystal Legacy, Asset Symbol: KNCL
Quote ID: 1983, Asset Name: VIBE, Asset Symbol: VIBE
Quote ID: 1984, Asset Name: Substratum, Asset Symbol: SUB
Quote ID: 1991, Asset Name: Rivetz, Asset Symbol: RVT
Quote ID: 1996, Asset Name: SALT, Asset Symbol: SALT
Quote ID: 1998, Asset Name: Ormeus Coin, Asset Symbol: ORMEUS
Quote ID: 2001, Asset Name: ColossusXT, Asset Symbol: COLX
Quote ID: 2002, Asset Name: TrezarCoin, Asset Symbol: TZC
Quote ID: 2006, Asset Name: Cobinhood, Asset Symbol: COB
Quote ID: 2009, Asset Name: Bismuth, Asset Symbol: BIS
Quote ID: 2010, Asset Name: Cardano, Asset Symbol: ADA
Quote ID: 2011, Asset Name: Tezos, Asset Symbol: XTZ
Quote ID: 2021, Asset Name: RChain, Asset Symbol: REV
Quote ID: 2022, Asset Name: Internxt, Asset Symbol: INXT
Quote ID: 2027, Asset Name: Cryptonex, Asset Symbol: CNX
Quote ID: 2034, Asset Name: Everex, Asset Symbol: EVX
Quote ID: 2041, Asset Name: BitcoinZ, Asset Symbol: BTCZ
Quote ID: 2043, Asset Name: Cindicator, Asset Symbol: CND
Quote ID: 2044, Asset Name: Enigma, Asset Symbol: ENG
Quote ID: 2047, Asset Name: Zeusshield, Asset Symbol: ZSC
Quote ID: 2061, Asset Name: Blockmason Credit Protocol, Asset Symbol: BCPT
Quote ID: 2062, Asset Name: Aion, Asset Symbol: AION
Quote ID: 2070, Asset Name: DomRaider, Asset Symbol: DRT
Quote ID: 2071, Asset Name: Request, Asset Symbol: REQ
Quote ID: 2076, Asset Name: Blue Protocol, Asset Symbol: BLUE
Quote ID: 2083, Asset Name: Bitcoin Gold, Asset Symbol: BTG
Quote ID: 2087, Asset Name: KuCoin Token, Asset Symbol: KCS
Quote ID: 2088, Asset Name: EXRNchain, Asset Symbol: EXRN
Quote ID: 2090, Asset Name: LATOKEN, Asset Symbol: LA
Quote ID: 2091, Asset Name: Exchange Union, Asset Symbol: XUC
Quote ID: 2092, Asset Name: NULS, Asset Symbol: NULS
Quote ID: 2096, Asset Name: Ripio Credit Network, Asset Symbol: RCN
Quote ID: 2099, Asset Name: ICON, Asset Symbol: ICX
Quote ID: 2100, Asset Name: JavaScript Token, Asset Symbol: JS
Quote ID: 2104, Asset Name: iEthereum, Asset Symbol: IETH
Quote ID: 2107, Asset Name: LUXCoin, Asset Symbol: LUX
Quote ID: 2110, Asset Name: Dovu, Asset Symbol: DOV
